title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Lifecycle Marketing Specialist,Bitso,MÃ©xico,web3.career,Marketing/Growth,Mid,False,Other,[]
KOL Marketing Manager,Consensys,Remote,web3.career,Marketing/Growth,Mid,True,Remote,[]
Senior Permance Marketing Manager Crypto,Figure,Remote,web3.career,Marketing/Growth,Senior,True,Remote,[]
Senior Lifecycle Marketing Manager,Figure,Remote,web3.career,Marketing/Growth,Senior,True,Remote,[]
Head of Crypto Partner and Field Marketing,Figure,Remote,web3.career,Marketing/Growth,Lead,True,Remote,[]
Growth Lead: Permance Marketing,Ether.fi,"Denver,CO,United States",web3.career,Marketing/Growth,Lead,False,USA,[]
Marketing Project Manager 100% remote,Tether,"Lisboa,Portugal",web3.career,Marketing/Growth,Mid,False,Other,[]
Binance Accelerator Program Content Specialist,Binance,Europe,web3.career,Marketing/Growth,Mid,False,Other,[]
Influencer Marketing Specialist,Coins.ph,"Manila,Philippines",web3.career,Marketing/Growth,Mid,False,Other,[]
Associate Community Retention,Bitpanda,Remote,web3.career,Community,Mid,True,Remote,[]
Senior Brand Design Systems Lead,ZIGCHAIN,Remote,web3.career,Designer,Senior,True,Remote,[]
Senior Brand Design Systems Lead,Zignaly,Remote,web3.career,Designer,Senior,True,Remote,[]
Staff Software Development Engineer UI,Zscaler,Remote,web3.career,Designer,Senior,True,Remote,[]
Web3 Creative Designer,Serotonin,"New York,NY,United States",web3.career,Designer,Mid,False,USA,[]
Multimedia Designer 100% remote,Tether,"Barcelona,Spain",web3.career,Designer,Mid,False,Other,[]
Senior Associate Brand Design,Bitpanda,Remote,web3.career,Designer,Senior,True,Remote,[]
Senior Web Designer Digital Illustrator,Alpaca,Remote,web3.career,Designer,Senior,True,Remote,[]
Motion Designer,Alpaca,Remote,web3.career,Designer,Mid,True,Remote,[]
Crypto Graphic Designer EuropeRemote,Token Metrics Inc.,Remote,web3.career,Designer,Mid,True,Remote,[]
Quantitative Risk Researcher,Divine,"San Francisco,CA,United States",web3.career,Research/Analyst,Mid,False,USA,
Trading Operations Analyst Associate,GSR,"New York,NY,United States",web3.career,Research/Analyst,Mid,False,USA,
Quantitative Trading Analyst,MLabs,"New York,NY,United States",web3.career,Research/Analyst,Mid,False,USA,
Head of Marketing,MLabs,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Director of Marketing,Hivemind Capital,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Lifecycle Marketing Lead,Polymarket,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Growth Marketing and Community Lead Contract Remote,Ares,Remote,web3.career,Community,Lead,True,Remote,
Director of Marketing,Hivemind Capital Partners,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Associate Growth Marketer API L1,CoinGecko,Malaysia,web3.career,Marketing/Growth,Mid,False,Other,
Binance Accelerator Program Marketing Australia New Zealand,Binance,"Auckland,New Zealand",web3.career,Marketing/Growth,Mid,False,Other,
Marketing Lead AIVM Blockchain Middle East,ChainGPT,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Marketing Lead AIVM Blockchain Europe,ChainGPT,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
PhD Research Fellow,Uniswaplabs,Remote,web3.career,Research/Analyst,Mid,True,Remote,
Content Marketer,OpenZeppelin,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
SVP Marketing,Alpaca,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Influencer Marketing Lead Sports Predictions,Crypto.com,United States,web3.career,Marketing/Growth,Lead,False,USA,
Affiliate Marketing Lead USA Sports Predictions,Crypto.com,United States,web3.career,Marketing/Growth,Lead,False,USA,
SMM Content Manager,Getgems,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
TikTok Instagram Content Creator,CoinStats,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Marketing Lead AIVM Blockchain Asia,ChainGPT,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Sr. Marketing Manager AEO,Kraken,"London,United Kingdom",web3.career,Marketing/Growth,Senior,False,UK,
Marketing Manager,Silo Finance,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Vice President Business Marketing PR Comms,Inmobi,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Senior Brand Designer Art Director,Kraken,"London,United Kingdom",web3.career,Designer,Senior,False,UK,
Sr. Director Design Consumer,Kraken,United States,web3.career,Designer,Senior,False,USA,
Brand Designer,solflare,"Zagreb,Croatia",web3.career,Designer,Mid,False,Other,
Visual Designer Breakout Prop,Kraken,United States,web3.career,Designer,Mid,False,USA,
Design Director MetaMask Transactions,Consensys,Remote,web3.career,Designer,Lead,True,Remote,
UX Graphic Designer Crypto Trading Platm,Fuel Labs,Brazil,web3.career,Designer,Mid,False,Brazil,
Freelance Graphic Motion Designer Wanted Web3 Crypto Trading,Mach Diamonds,Remote,web3.career,Designer,Mid,True,Remote,
Associate Brand Designer,Gemini,"New York,NY,United States",web3.career,Designer,Mid,False,USA,
Senior Graphic Designer,Kiln,"Paris,France",web3.career,Designer,Senior,False,Other,
Design Engineer,Monad Foundation,United States,web3.career,Designer,Mid,False,USA,
Head of Design,Blockchain,Remote,web3.career,Designer,Lead,True,Remote,
UX Researcher,Bitso,Latin America,web3.career,Designer,Mid,False,Other,
Graphic Designer [ContracttoPerm],Monad Foundation,United States,web3.career,Designer,Mid,False,USA,
Brand Designer,Zerion,Europe,web3.career,Designer,Mid,False,Other,
Senior UX UI Designer,Kast,Australia,web3.career,Designer,Senior,False,Other,
Trading Operations Analyst,Gsrmarkets,Remote,web3.career,Research/Analyst,Mid,True,Remote,
QA Engineer,Copperco,Remote,web3.career,QA/Testing,Mid,True,Remote,
Venture Analyst,Digitalcurrencygroup,Remote,web3.career,Research/Analyst,Mid,True,Remote,
Crypto Threat Analyst,Jack &amp; Jill,"Washington,United States",web3.career,Research/Analyst,Mid,False,USA,
Crypto Research Analyst Institutional Focus,Token Relations,"New York,NY,United States",web3.career,Research/Analyst,Mid,False,USA,
CoFounder Equity Based Luxury Sustainability Web3,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,
Marketing Artist,RoofStacks,İstanbul,web3.career,Marketing/Growth,Mid,False,Other,
CoFounder Equity Based,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,
Technical Customer Growth Manager Korea,Immutable,South Korea,web3.career,Marketing/Growth,Mid,False,Other,
CoFounder Equity Based Fashion Sustainability Web3,Rise and Fame,"New York,NY,United States",web3.career,Designer,Mid,False,USA,
CoFounder EquityBased — Fashion Sustainability Web3,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,
Marketing Analytics Manager,Consensys,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Game Community Lead Revenue Share Remote,3METAD,"San Jose,CA,United States",web3.career,Community,Lead,False,USA,
Content Operations Manager,Crypto.com,"Hong Kong,Hong Kong",web3.career,Marketing/Growth,Mid,False,Hong Kong,
Senior Software Engineer MetaMask Growth,Consensys,Remote,web3.career,Marketing/Growth,Senior,True,Remote,
CoFounder EquityBased — Fashion Web3,Rise and Fame,"Los Angeles,CA,United States",web3.career,Designer,Mid,False,USA,
Social Media Lead,Supra,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Sr Sports Trader Risk Analyst,Magic Eden,"Melbourne,Australia",web3.career,Research/Analyst,Mid,False,Other,
Social Marketing Manager DOMA,D3,"Los Angeles,CA,United States",web3.career,Marketing/Growth,Mid,False,USA,
